Part;Value;Device;Package;Description;MF;MPN;OC_FARNELL;OC_NEWARK;POPULARITY;SPICEPREFIX;VALUE;
"C1";"1u/50V";"C-EUC1210K";"C1210K";"CAPACITOR, European symbol";"";"";"";"";"0";"C";"";
"C2";"1000p/2KV";"C-EUC1206K";"C1206K";"CAPACITOR, European symbol";"";"";"";"";"13";"C";"";
"C3";"1000p/2KV";"C-EUC1206K";"C1206K";"CAPACITOR, European symbol";"";"";"";"";"13";"C";"";
"C4";"100n";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"52";"C";"";
"C5";"100n";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"52";"C";"";
"C61";"22u/25V";"C-EUC1210K";"C1210K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C75";"1u";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"52";"C";"";
"C81";"0u1";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"52";"C";"";
"C82";"0u1";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"52";"C";"";
"C83";"1u";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"52";"C";"";
"C84";"2u2";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"52";"C";"";
"C85";"1u";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"52";"C";"";
"C91";"0u1";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"52";"C";"";
"C92";"0u1";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"52";"C";"";
"C93";"1u";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"52";"C";"";
"C94";"2u2";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"52";"C";"";
"C95";"1u";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"52";"C";"";
"F1";"MF-SMDF050";"MF-SMDF050";"MF-SMDF050";"MF-SMDF Series - PRC Resettable Fuses";"";"";"";"";"0";"";"";
"IC1";"DS2482S-800";"DS2482S-800";"SO16";"";"";"";"";"";"";"";"";
"IC3";"DS18B20";"DS18B20";"SO8";"DS18B20";"";"";"";"";"";"";"DS18B20";
"IC81";"SI8600";"SI8600";"SO08";"";"";"";"";"";"";"";"";
"IC91";"SI8600";"SI8600";"SO08";"";"";"";"";"";"";"";"";
"LED6";"1296.1004";"1296.1004";"1296.1004";"Miniature Multiple Display, lying";"";"";"";"";"";"";"";
"PASS1";"MAKR1";"MAKR1";"MARK1";"Passmarke";"";"";"";"";"";"";"";
"PASS2";"MAKR1";"MAKR1";"MARK1";"Passmarke";"";"";"";"";"";"";"";
"PWS1";"TEN 8-2411WI";"TEN8WI";"TEN8";"";"";"";"";"";"";"";"";
"PWS81";"R1SE-0505";"RECOM_R1SE-0505";"R1SE_0505";"";"";"";"";"";"";"";"";
"PWS91";"R1SE-0505";"RECOM_R1SE-0505";"R1SE_0505";"";"";"";"";"";"";"";"";
"R5";"470R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R6";"470R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R61";"220R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R62";"220R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R63";"220R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R64";"220R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R65";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R66";"n/a";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R81";"4K7";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R82";"4K7";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R91";"4K7";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R92";"4K7";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"REG81";"LD2981ABU50TR";"LD2981ABU50TR";"SOT89";"Low Drop Spannungsregler, LD2981ABU50TR, Fest, 100mA, 5 Vout, 1-Ausg, SOT-89, 3-Pin, ±0.75%, Positiv";"";"";"";"";"";"";"";
"REG91";"LD2981ABU50TR";"LD2981ABU50TR";"SOT89";"Low Drop Spannungsregler, LD2981ABU50TR, Fest, 100mA, 5 Vout, 1-Ausg, SOT-89, 3-Pin, ±0.75%, Positiv";"";"";"";"";"";"";"";
"S61";"";"10-XXS";"B3FS-10XX";"OMRON SWITCH";"";"";"";"";"";"";"";
"SJ7";"X3.7 pin";"SJ2W";"SJ_2";"SMD solder JUMPER";"";"";"";"";"7";"";"";
"SJ8";"X3.8 pin";"SJ2W";"SJ_2";"SMD solder JUMPER";"";"";"";"";"7";"";"";
"SJ61";"LED6.1 mode";"SJ2W";"SJ_2";"SMD solder JUMPER";"";"";"";"";"7";"";"";
"X1";"ESQ-120-12-G-D";"FE20-2";"FE20-2";"FEMALE HEADER";"";"";"unknown";"unknown";"0";"";"";
"X2";"DC-JACK-SMD";"DC-JACK-SMD";"694_1XX_106_102";"DC Buchse 2,5mm rechtwinklig, Oberflächenmontage 5A 24 V dc, Gold, Zinn beschichtet";"";"";"";"";"";"";"";
"X3";"713-1424/037-000";"713-1424/037-000";"P-713-1424/037-000";"Serie 713,  Stiftleiste (für Leiterplatten) Einlötstift abgewinkelt 0,8 x 0,8 mm / Series 713,  Male header (for PCBs) Angled solder pin 0.8 x 0.8 mmPolzahl / Pole No.: 8 Rastermaß / Pitch: 3.5  mmBemessungsspannung / Rated Voltage: 160 VNennstrom / Nominal Current: 10 ALötstiftlänge: / Solder Pin Length: 3.8 mmFarbe / Color: schwarz / black Stand: 01.01.2014. Die jeweils aktuellen Daten zu diesem Artikel finden Sie in unserem Produktkatalog, den Sie unter www.wago.com einsehen können.  As of: 01/01/2014. Please find the newest data for this article in our product catalogue, which can be viewed under www.wago.com.";"";"";"";"";"";"";"";
"X4";"";"MA06-2";"MA06-2";"PIN HEADER";"";"";"unknown";"unknown";"8";"";"";
"X5";"";"MA02-1";"MA02-1";"PIN HEADER";"";"";"";"";"";"";"";
"X71";"pH Circuit";"EZOSOCKET";"EZO";"EZO™ Device";"";"";"";"";"";"";"pH Circuit";
"X72";"TE5227161";"TE5227161-9";"TE5227161";"BNC-Buchse";"";"";"";"";"";"";"TE5227161";
"X81";"pH Circuit";"EZOSOCKET";"EZO";"EZO™ Device";"";"";"";"";"";"";"pH Circuit";
"X82";"TE5227161";"TE5227161-9";"TE5227161";"BNC-Buchse";"";"";"";"";"";"";"TE5227161";
"X91";"pH Circuit";"EZOSOCKET";"EZO";"EZO™ Device";"";"";"";"";"";"";"pH Circuit";
"X92";"TE5227161";"TE5227161-9";"TE5227161";"BNC-Buchse";"";"";"";"";"";"";"TE5227161";
